"","results"
"42","Here are the extracted details:

1. **Kampong**: Pengkalan Batu
2. **Price**:
	* Harga: 125k (for 0.465 ekar)
	* Harga: 65k (for 0.232 ekar)
3. **Type**: 
	* No specific type mentioned, but the context suggests a rural area development
4. **Storey**: Not specified, possibly single storey given the kampong setting
5. **Status**: Proposed
6. **Land_size**:
	* Lot 1: 0.465 ekar
	* Lot 2: 0.232 ekar (or 2 x 0.116 ekar)
7. **Floor_size**: Not specified
8. **Beds**: Not specified, possibly assumed to be for rural or kampong living with fewer bedrooms
9. **Baths**: Not specified
10. **Land_type**: Leasehold (55 tahun baki 29 tahun)"
"43","Here are the extracted details:

**Kampong:**
- Lempaki Mulaut (village in Brunei)

**Price:**
- $273,000.00
- $283,000.00

**Type:**
- Apartment (none mentioned)
- Bungalow (none mentioned)
- Detached (none mentioned)
- Semi-detached: Yes

**Storey:**
- Double storey

**Status:**
- Ready to move in
- 2 units left

**Land_size:**
- 0.070ac
- 0.108ac

**Floor_size:**
- 1,950 sq ft

**Beds:**
- 4 bedrooms

**Baths:**
- 3 bathrooms

**Land_type:**
- Kekal (land type in Brunei)

**Additional Remark:**
- The house is a double storey semi-detached house.
- It's ready to move in with 2 units left."
"44","Here are the extracted details:

1. **kampong**: Mulaut
2. **price**: $255,000.00
3. **type**:
	* Semi-detached (house)
	* Double storey
4. **storey**: Double storey
5. **status**: Under-construction
6. **land_size**: 0.066 acres
7. **floor_size**: 2650 sq ft
8. **beds**: 4 rooms
9. **baths**: 4 toilets
10. **land_type**: Kekal (in perpetuity)
11. **Additional Remark**:
	* Remaining details: not specified
12. **Caption**: 'double storey semi detached house at mulaut under construction...'"
"45","Here are the extracted details:

1. **Kampong**:
	* Serasa (village in Brunei)
2. **Price**:
	* B$230,000.00
3. **Type**:
	* Detached house
4. **Storey**:
	* Double storey
5. **Status**:
	* Under-construction
6. **Land size**: Not explicitly mentioned
7. **Floor size**: Not explicitly mentioned
8. **Beds**:
	* No specific number mentioned
9. **Baths**:
	* No specific number mentioned
10. **Land_type**:
	* Kekal (in perpetuity)
11. **Additional Remark**:
	* The remaining details are not clear, but it mentions ""at Serasa"" and the house is described as a ""double storey detached house""."
"46","Here are the extracted details:

**Kampong:**
The kampong mentioned is Kulapis.

**Price:**
The price of this property is between:
* B$188,000.00 (minimum)
* B$178,000.00 (maximum)

**Type:**
This property is a:
* Semi-detached bungalow house

**Storey:**
It is a Single storey property.

**Status:**
The status of this property is Under construction and expected to be complete in February 2022.

**Land_size:**
The land size is between:
* 0.104 acres
* 0.087 acres (exact sizes not specified, but shown as range)

**Floor_size:**
The floor area is between:
* 2,110 sq ft
* 2,273 sq ft

**Beds:**
There are 3 rooms.

**Baths:**
There are 2 toilets.

**Land_type:**
This property is held on a Kekal tenure."
"47","Here are the extracted details:

1. **Kampong**: Salar
2. **Price**:
	* Middle B: $148,000.00
	* Corner: Not specified
3. **Type**:
	* Terrace Bungalow (single storey)
4. **Storey**: Single storey
5. **Status**: Proposed
6. **Land Size**:
	* 0.0466 acres (for Middle B)
	* 0.086 acres (for Corner)
7. **Floor Size**: 1074 sqft - 1112 sqft
8. **Beds**: 3 rooms
9. **Baths**: 2 toilets
10. **Land Type**: Kekal
11. **Additional Remark**:
	* Free sale purchase agreement
	* Water tank pump
	* Water heater
	* Kitchen cabinet B"
"48","Here are the extracted details:

1. **Kampong (Village in Brunei)**: Subok
2. **Price**: B$410,000.00
3. **Type**:
	* Apartment: No mention
	* Bungalow: No mention
	* Detached: Yes
	* Semi-detached: No mention
4. **Storey**: Double storey
5. **Status**: Not mentioned (implied to be existing based on the context)
6. **Land_size**: 0.163 acres
7. **Floor_size**: Not specified (only floor size is not mentioned, but land size is given)
8. **Beds**: 5 rooms (assuming bedrooms, although not explicitly stated as beds)
9. **Baths**: Not specified (number of bathrooms is not mentioned)
10. **Land_type**: Leasehold
11. **Additional Remark**:
	* No additional remark provided in the original text"
"49","Here are the extracted details:

1. **Kampong**: Madang
2. **Price**:
	* Original price: $318k
	* Now offered at: $298k
3. **Type**: Detached house (double storey)
4. **Storey**: Double storey
5. **Status**: Proposed
6. **Land size**: Not mentioned
7. **Floor size**: 2,509.05 sqft
8. **Beds**: 4 rooms
9. **Baths**: 3 toilets
10. **Land_type**: Kekal (in perpetuity)
11. **Additional Remark**: Now offer $298k"
"50","Here are the extracted details:

**Kampong:** Jerudong

**Price:** $139,000.00

**Type:**

* Apartment: None
* Bungalow: Yes (Terrace Bungalow)
* Detached: No
* Semi-detached: No

**Storey:** Single storey

**Status:** Under-construction

**Land_size:** 0.036 acres (approximately 14,616 sq ft)

**Floor_size:** 1000 sq ft

**Beds:** 3 rooms

**Baths:** 2 toilets

**Land_type:** Kekal (In perpetuity)

**Additional Remark:**

* Last unit
* Estimate complete Oct 2022
* Middle location"
"51","Here are the extracted details:

1. **Kampong:**
	* Pengkalan Batu
2. **Price:**
	* $125,000 for 0.465 ekar (approximately 0.73 acres)
	* $65,000 for 0.232 ekar (approximately 0.36 acres)
3. **Type:**
	* Not mentioned explicitly, but implied to be a residential sale
4. **Storey:**
	* Not mentioned
5. **Status:**
	* Not mentioned, but the caption implies it's already available for sale (""tanah untuk di jual"")
6. **Land Size:**
	* 0.465 ekar (approximately 0.73 acres)
	* 0.232 ekar (approximately 0.36 acres)
7. **Floor Size:**
	* Not mentioned
8. **Beds:**
	* Not mentioned
9. **Baths:**
	* Not mentioned
10. **Land Type:**
	* Leasehold for 55 years, with 29 years remaining
11. **Additional Remark:**
	* The sale is subject to housing regulations (""Syarat Perumahan Am"")"
"52","Here are the extracted details:

**Kampong:** Kilanas

**Price:** 
   - Price range: $255,000 to $265,000
   - Proposed price (without specific kampong name mentioned previously)

**Type:**
   - Apartment, bungalow, detached, semi-detached are not explicitly mentioned. However, it is referred as a ""double storey detached house""

**Storey:** 
   - Double storey

**Status:** 
   - Proposed

**Land Size:** 
   - 0.09 acres to 0.133 acres (likely referring to the smaller value as the price range starts from $255,000)

**Floor Size:**
   - Not mentioned in this context but implied through the area of land used for a home of this size and number of rooms

**Beds:** 
   - 4 rooms (implying four bedrooms)

**Baths:** 
   - 3 toilets (assuming each is a bathroom, though ""toilet"" and ""bathroom"" are sometimes distinguished in different contexts)"
"53","Here are the extracted details:

1. **Kampong**: Jerudong
2. **Price**:
	* Original price: $188k
	* Offered price: $170k
3. **Type**: Terrace house (double storey)
4. **Storey**: Double storey
5. **Status**: New and ready to move in
6. **Land_size**: Not specified
7. **Floor_size**: Approximately 1959 sqft
8. **Beds**: 4 bedrooms
9. **Baths**: 3 toilets (bathrooms)
10. **Land_type**: Leasehold (50 years)
11. **Additional Remark**:
	* 2 car porch
	* Approx 1959 sqft
	* Ready to move in"
"54","Here are the extracted details:

* **Kampong:** Jangsak
* **Price:** RM1,000/month (nett)
* **Type:**
	+ Apartment: Not mentioned
	+ Bungalow: Not mentioned
	+ Detached: Not mentioned
	+ Semi-detached: Yes
* **Storey:** Double storey
* **Status:** For rent
* **Land_size:** Not mentioned
* **Floor_size:** Not mentioned
* **Beds:** 3 bedrooms
* **Baths:** Not mentioned (but ""furnished 3 rooms"" implies 3 bathrooms)
* **Land_type:** Not explicitly mentioned, but implied to be Leasehold or In perpetuity or Kekal based on the context of property rental in Brunei
* **Additional Remark:**
	+ Strategic area
	+ Modern elegant decoration
	+ Newly renovated"
"55","Here are the extracted details:

* **Kampong:** Subok
* **Price:**
	+ Original price: $238,000
	+ Current offer: $225,000
* **Type:** Semi-detached house
* **Storey:** Double storey
* **Status:** Ready to move in (new)
* **Land_size:** Not specified
* **Floor_size:** Not specified
* **Beds:** 4 rooms (assuming bedrooms)
* **Baths:** Not specified
* **Land_type:** Kekal
* **Additional Remark:**
	+ Location: Subok
	+ Type of property: Double storey semi-detached house"
"56","Here are the extracted details:

* **Kampong**: Madang
* **Price**:
	+ Original price: $318,000
	+ Current price: $308,000 (with an offer)
* **Type**: Detached house
* **Storey**: Double storey
* **Status**: Proposed
* **Land_size**: 2,509.05 sqft
* **Floor_size**: Not mentioned explicitly, but implied to be around 2,509.05 sqft (same as land size)
* **Beds**: 4 rooms (assumed to mean 4 bedrooms)
* **Baths**: 3 toilets (assumed to mean 3 bathrooms)
* **Land_type**: Kekal
* **Additional Remark**: The house is a double storey detached house with the mentioned characteristics."
"57","Here are the extracted details:

**1. Kampong**
- Kampong: Mulaut

**2. Price**
- Price: $288,000.00

**3. Type**
- Type: Detached House
- Storey: Double Storey

**4. Status**
- Status: Complete (last unit)

**5. Land Size**
- No specific land size mentioned

**6. Floor Size**
- No specific floor size mentioned

**7. Beds and Baths**
- Number of bedrooms: Not explicitly mentioned, but ""double storey detached house"" implies at least 2-3 bedrooms
- Number of bathrooms: Not explicitly mentioned

**8. Land Type**
- Land type: Leasehold (implied by the price being in thousands)

**9. Additional Remark**
- Last unit available
- Price includes everything complete"
"58","Here are the extracted details:

1. **Kampong**: BSBetabik
2. **Price**:
	* Original price: $235k
	* Current price: $218k (with an offer)
3. **Type**:
	* Semi-detached house
4. **Storey**: Double storey
5. **Status**: Under-construction
6. **Land size**: 0.073 acres (not specified in sq ft)
7. **Floor size**: 2,500 sq ft
8. **Beds**: 4 rooms (assuming bedrooms)
9. **Baths**: 4 toilets (assuming bathrooms)
10. **Land type**: Kekal (in perpetuity)
11. **Additional Remark**:
	* Last unit available
	* Now offering a discount on the current price"
"59","Here are the extracted details:

* **Kampong**: Selayun
* **Price**: B$267,000.00
* **Type**:
	+ Detached house
* **Storey**: Single storey (implied by ""1 unit"")
* **Status**: Not mentioned (but ""proposed"" and ""under-construction"" are not indicated)
* **Land Size**: 0.167 acres
* **Floor Size**: 2300 sqft
* **Beds**: 3 rooms (assuming bedrooms, although not explicitly stated as bedrooms)
* **Baths**: 3 toilets (assuming bathrooms, although not explicitly stated as bathrooms)
* **Land Type**: Kekal
* **Additional Remark**: None mentioned"
"60","Here are the extracted details:

1. **Kampong**: Kilanas
2. **Price**: $400,000.00
3. **Type**:
	* Apartment: None
	* Bungalow: None
	* Detached: Yes (new double storey detached house)
	* Semi-detached: None
4. **Storey**: Double storey
5. **Status**: New (ready to move in)
6. **Land size**: 0.132 acres
7. **Floor size**: 3500 sqft
8. **Beds**: Not mentioned, but it's a 5-room house
9. **Baths**: Not mentioned
10. **Land type**: Kekal (in perpetuity)
11. **Additional Remark**:
	* Last unit available
	* Ready to move in"
"61","Here are the extracted details:

* **Kampong**: Tg Nangka
* **Price**: $238,000.00
* **Type**:
	+ Apartment: No mention
	+ Bungalow: No mention
	+ Detached: No mention
	+ Semi-detached: Yes (2 units double storey semi-detached house)
* **Storey**: Double storey
* **Status**: Under-construction
* **Land Size**: 0.055ac (approximately 2234 sqm)
* **Floor Size**: Not mentioned (assumed to be same as land size or not applicable)
* **Beds**: 4 rooms
* **Baths**: 3 toilets
* **Land Type**: Kekal
* **Additional Remark**:
	+ Location: Tg Nangka
	+ Number of units: 2
	+ Status update: Under construction"
"62","Here are the extracted details:

1. **Kampong**: Lumapas
2. **Price**: $228,000.00
3. **Type**:
	* Apartment: Not mentioned
	* Bungalow: Not mentioned
	* Detached: Yes
	* Semi-detached: No
4. **Storey**: Double storey
5. **Status**: Under-construction
6. **Land Size**:
	* 0.113ac (first unit)
	* 0.125ac (second unit, not specified which one)
7. **Floor Size**: 2,500 sq ft
8. **Beds**: 4 rooms (assuming 4 bedrooms)
9. **Baths**: 5 toilets (assuming 5 bathrooms)
10. **Land Type**: Kekal B
11. **Additional Remark**:
	* Double storey detached house
	* 2 units left
12. **Caption**: 'double storey detached house in lumapas...'"
"63","Here are the extracted details:

**kampong:**
* Sg Tilong

**price:**
* BND $298,000.00 (negotiable)

**type:**
* Detached house
* Double storey

**status:**
* Under-construction

**land_size:**
* 0.111ac - 0.142ac (approximately 4,550 sqft to 5,950 sqft)

**floor_size:**
* Not mentioned explicitly, but ""2,297sqfr"" is likely the floor size.

**beds:**
* 4 rooms (assuming bedrooms)

**baths:**
* 3 toilets (assuming bathrooms)

**land_type:**
* Leasehold
* For Rakyat Jati (local Bruneians)
* Lease duration: 55 years

**Additional Remark:**
* Suitable for a family residence"
